*!-DCTVALUE="2001-02-01"-!*	O	-

Los	O	-
ecologistas	O	-
denuncian	O	-
ante	O	-
el	O	-
TSJC	O	-
la	O	-
concesión	O	-
por	O	-
la	O	-
Agència	O	-
Catalana	O	-
del	O	-
'	O	-
Aigua	O	-
de	O	-
caudales	O	-
de	O	-
la	O	-
depuradora	O	-
de	O	-
Les	O	-
Fonts	O	-
para	O	-
el	O	-
futuro	B-DATE	FUTURE_REF
campo	O	-
de	O	-
Torrebonica	O	-
.	O	-

Adenc	O	-
,	O	-
que	O	-
ya	O	-
denunció	O	-
el	O	-
uso	O	-
del	O	-
agua	O	-
,	O	-
cree	O	-
que	O	-
han	O	-
existido	O	-
irregularidades	O	-
en	O	-
la	O	-
concesión	O	-
.	O	-

*!-DCTVALUE="2002-01-02"-!*	O	-

Canales	O	-
presentará	O	-
mañana	B-DATE	2002-01-03
La	O	-
Chanson	O	-
Flamenca	O	-
,	O	-
y	O	-
Taha	O	-
dirigirá	O	-
el	B-DATE	2002-01-04
viernes	I-DATE	2002-01-04
la	O	-
La	O	-
Fiesta	O	-
Mediterránea	O	-
.	O	-

La	O	-
muestra	O	-
de	O	-
Logroño	O	-
acoge	O	-
,	O	-
desde	O	-
hoy	B-DATE	2002-01-02
y	O	-
hasta	O	-
el	B-DATE	2002-01-08
día	I-DATE	2002-01-08
8	I-DATE	2002-01-08
,	O	-
30	O	-
conciertos	O	-
(	O	-
entre	O	-
ellos	O	-
,	O	-
los	O	-
de	O	-
Jorge	O	-
Drexler	O	-
,	O	-
Mastretta	O	-
y	O	-
Berrogüeto	O	-
)	O	-
y	O	-
10	O	-
preestrenos	O	-
de	O	-
cine	O	-
.	O	-

*!-DCTVALUE="2000-09-03"-!*	O	-

Con	O	-
la	O	-
conformidad	O	-
de	O	-
Catalunya	O	-
,	O	-
Valencia	O	-
,	O	-
Murcia	O	-
y	O	-
Andalucía	O	-
a	O	-
los	O	-
trasvases	O	-
de	O	-
agua	O	-
del	O	-
Ebro	O	-
,	O	-
el	O	-
Plan	O	-
Hidrológico	O	-
Nacional	O	-
empieza	O	-
a	O	-
dar	O	-
sus	O	-
primeros	O	-
pasos	O	-
.	O	-

Son	O	-
regiones	O	-
deficitarias	O	-
en	O	-
recursos	O	-
hídricos	O	-
que	O	-
curiosamente	O	-
alcanzan	O	-
un	O	-
alto	O	-
volumen	O	-
de	O	-
exportación	O	-
de	O	-
productos	O	-
agrarios	O	-
.	O	-

Pero	O	-
las	O	-
reacciones	O	-
no	O	-
han	O	-
sido	O	-
todas	O	-
favorables	O	-
.	O	-

Aragón	O	-
dice	O	-
que	O	-
no	O	-
.	O	-

Se	O	-
opone	O	-
a	O	-
que	O	-
se	O	-
aproveche	O	-
el	O	-
agua	O	-
que	O	-
